,传染病和事件信息报告系统,全国动物疫情风险监测预警系统,农作物病虫疫情监测预警系统,海关卫生检疫系统,重大林草植物疫情及外来入侵物种监测预警系统,陆生野生动物疫源疫病监测预警系统,病原智能监测预警系统（知识）,病原智能监测预警系统（数据）,生物舆情监测平台
葡萄汁曲霉,,,,,,,,yes,
人多瘤病毒1型(BK多瘤病毒）,,,,,,,,yes,
卡内蒂分枝杆菌,,,,,,,,yes,
灰色拟普雷沃菌,,,,,,,,yes,
小韦荣球菌,,,,,,,,yes,
脆弱拟杆菌,,,,,,,,yes,
香港纤毛菌,,,,,,,,yes,
侵蚀艾肯菌,,,,,,,,yes,
Schaalia_cardiffensis,,,,,,,,yes,
幽门螺杆菌,,,,,,,,yes,
唾液普雷沃菌,,,,,,,,yes,
长奈瑟菌,,,,,,,,yes,
血链球菌,,,,,,,,yes,
黏液罗氏菌,,,,,,,,yes,
青霉*,,,,,,,,yes,
皮炎外瓶霉,,,,,,,,yes,
苏云金芽胞杆菌,,,,,,,,yes,
牙周梭杆菌,,,,,,,,yes,
格氏克雷伯菌,,,,,,,,yes,
洋葱伯克霍尔德菌,,,,,,,,yes,
龈裂陌生菌,,,,,,,,yes,
限制赭霉,,,,,,,,yes,
赤松丝衣霉,,,,,,,,yes,
龋齿罗氏菌,,,,,,,,yes,
格雷文尼放线菌,,,,,,,,yes,
胞内分枝杆菌,,,,,,,,yes,
殊异韦荣球菌,,,,,,,,yes,
嗜麦芽糖密螺旋体,,,,,,,,yes,
谢瓦利埃曲霉,,,,,,,,yes,
藤仓镰刀菌,,,,,,,,yes,
人型金黄杆菌,,,,,,,,yes,
栖组织普雷沃菌,,,,,,,,yes,
脓肿分枝杆菌,,,,,,,,yes,
休斯顿分枝杆菌,,,,,,,,yes,
小细环病毒9型,,,,,,,,yes,
华莱士诺卡菌,,,,,,,,yes,
罕见无色杆菌,,,,,,,,yes,
近玫色锁掷孢酵母,,,,,,,,yes,
雷氏普罗威登斯菌,,,,,,,,yes,
布氏柠檬酸杆菌,,,,,,,,yes,
腐败密螺旋体,,,,,,,,yes,
小细环病毒18型,,,,,,,,yes,
新月弯孢霉,,,,,,,,yes,
嗜血清霍氏菌,,,,,,,,yes,
Ophiostoma_piceae,,,,,,,,yes,
颊普雷沃菌,,,,,,,,yes,
粪产碱杆菌,,,,,,,,yes,
孔慈创伤球菌,,,,,,,,yes,
化脓链球菌,,,,,,,,yes,
桑树肠杆菌,,,,,,,,yes,
鼻疽伯克霍尔德菌,,,,,,,,yes,
日勾维多源杆菌,,,,,,,,yes,
篮状菌*,,,,,,,,yes,
丙酸棒杆菌,,,,,,,,yes,
杨氏柠檬酸杆菌,,,,,,,,yes,
黑马朗念珠菌,,,,,,,,yes,
罗氏韦荣球菌,,,,,,,,yes,
懒惰约翰森菌,,,,,,,,yes,
嗜水气单胞菌,,,,,,,,yes,
鸟分枝杆菌,,,,,,,,yes,
Mycobacteroides,,,,,,,,yes,
生癌肠杆菌,,,,,,,,yes,
流产布鲁菌,,,,,,,,yes,
羊布鲁菌,,,,,,,,yes,
贝纳特柯克斯体,,,,,,,,yes,
猫立克次体,,,,,,,,yes,
溶组织内阿米巴,,,,,,,,yes,
嗜麦芽寡养单胞菌,,,,,,,,yes,
人单纯疱疹病毒1型,,,,,,,,yes,
纹带棒状杆菌,,,,,,,,yes,
马尔尼菲篮状菌,,,,,,,,yes,
人疱疹病毒7型,,,,,,,,yes,
人疱疹病毒4型（EB病毒）,,,,,,,,yes,
拥挤棒状杆菌,,,,,,,,yes,
沃氏葡萄球菌,,,,,,,,yes,
越南伯克霍尔德菌,,,,,,,,yes,
无枝菌酸棒杆菌,,,,,,,,yes,
人葡萄球菌,,,,,,,,yes,
人疱疹病毒5型（巨细胞病毒）,,,,,,,,yes,
耐辐射甲基杆菌,,,,,,,,yes,
乳肠球菌,,,,,,,,yes,
黄曲霉,,,,,,,,yes,
解甘露醇罗尔斯顿菌,,,,,,,,yes,
表皮葡萄球菌,,,,,,,,yes,
挪威白念珠菌,,,,,,,,yes,
葡萄牙念珠菌,,,,,,,,yes,
免疫应答分枝杆菌,,,,,,,,yes,
摩氏摩根菌,,,,,,,,yes,
产朊假丝酵母,,,,,,,,yes,
人类疱疹病毒6A型,,,,,,,,yes,
马赛军团菌,,,,,,,,yes,
新型隐球菌,,,,,,,,yes,
模仿棒杆菌,,,,,,,,yes,
病臭肠球菌,,,,,,,,yes,
娄地青霉,,,,,,,,yes,
人类疱疹病毒6B型,,,,,,,,yes,
解葡萄糖苷棒杆菌,,,,,,,,yes,
鸟-胞内分枝杆菌复合群,,,,,,,,yes,
普通裂褶菌,,,,,,,,yes,
蒂莫内马赛菌,,,,,,,,yes,
Brevibacterium_ravenspurgens(短杆菌属细菌),,,,,,,,yes,
玫瑰色库克菌,,,,,,,,yes,
弗氏柠檬酸杆菌复合群,,,,,,,,yes,
冬天分枝杆菌,,,,,,,,yes,
腿伤凯斯特菌,,,,,,,,yes,
阴沟肠杆菌复合群,,,,,,,,yes,
嘎地分枝杆菌,,,,,,,,yes,
戊糖乳杆菌,,,,,,,,yes,
洋葱伯克霍尔德菌复合群,,,,,,,,yes,
约翰逊乳杆菌,,,,,,,,yes,
人单纯疱疹病毒3型（水痘-带状疱疹）,,,,,,,,yes,
香港触酶杆菌,,,,,,,,yes,
佩滕科菲尔葡萄球菌,,,,,,,,yes,
怯生难养杆菌,,,,,,,,yes,
吉达根棒状杆菌,,,,,,,,yes,
鹑鸡肠球菌,,,,,,,,yes,
Acetobacter_indonesiensis(醋酸菌属细菌),,,,,,,,yes,
双向伯克霍尔德菌,,,,,,,,yes,
戊糖片球菌,,,,,,,,yes,
Lactococcus_cremoris(乳球菌属细菌),,,,,,,,yes,
粉红单端孢菌,,,,,,,,yes,
多尔拟杆菌,,,,,,,,yes,
缓慢埃格菌,,,,,,,,yes,
梭形梭菌,,,,,,,,yes,
产气柯林斯菌,,,,,,,,yes,
沃氏嗜胆菌,,,,,,,,yes,
人结肠厌氧棍状菌,,,,,,,,yes,
共生梭菌,,,,,,,,yes,
小克里斯滕森氏菌,,,,,,,,yes,
内脏臭气杆菌,,,,,,,,yes,
科氏葡萄球菌,,,,,,,,yes,
Enterobacter bugandensis(肠杆菌属细菌),,,,,,,,yes,
Fusarium_haematococcum(镰刀菌属真菌）,,,,,,,,yes,
吉拉迪贪铜菌,,,,,,,,yes,
阿萨希丝孢酵母,,,,,,,,yes,
盲肠肠球菌,,,,,,,,yes,
Pseudomonas_grimontii(假单胞菌属细菌),,,,,,,,yes,
小肠肠球菌,,,,,,,,yes,
假白喉棒杆菌,,,,,,,,yes,
克柔念珠菌,,,,,,,,yes,
口普雷沃氏菌,,,,,,,,yes,
人细小病毒B19型,,,,,,,,yes,
Streptococcus koreensis 链球菌属细菌,,,,,,,,yes,
化脓拟杆菌,,,,,,,,yes,
弗比恩毕赤酵母,,,,,,,,yes,
发酵念珠菌,,,,,,,,yes,
分散泛菌,,,,,,,,yes,
铅黄肠球菌,,,,,,,,yes,
HPgV病毒C型,,,,,,,,yes,
奥斯陆莫拉菌,,,,,,,,yes,
惰性凝聚杆菌,,,,,,,,yes,
头状葡萄球菌,,,,,,,,yes,
米曲霉,,,,,,,,yes,
扩展青霉,,,,,,,,yes,
生痰二氧化碳嗜纤维菌,,,,,,,,yes,
唾液支原体,,,,,,,,yes,
长孢洛德酵母,,,,,,,,yes,
栖稻假单胞菌,,,,,,,,yes,
印度库克氏菌,,,,,,,,yes,
Enterobacter_sichuanensis(肠杆菌属细菌）,,,,,,,,yes,
Klebsiella grimontii（克雷伯菌属细菌）,,,,,,,,yes,
Nocardiopsis_prasina(拟诺卡菌属细菌),,,,,,,,yes,
戈登分枝杆菌,,,,,,,,yes,
空肠普雷沃菌,,,,,,,,yes,
血孪生球菌,,,,,,,,yes,
德兰士瓦诺卡菌,,,,,,,,yes,
杆状奈瑟菌,,,,,,,,yes,
柯氏棒状杆菌,,,,,,,,yes,
口腔毛绒厌氧杆菌,,,,,,,,yes,
变形斑沙雷菌,,,,,,,,yes,
麦氏棒状杆菌,,,,,,,,yes,
Lactobacillus harbinensis(乳杆菌属细菌),,,,,,,,yes,
马胃葡萄球菌,,,,,,,,yes,
蒙氏假单胞菌,,,,,,,,yes,
产碱假单胞菌,,,,,,,,yes,
林肯莫拉菌,,,,,,,,yes,
产黄青霉复合群,,,,,,,,yes,
孟氏假单胞菌,,,,,,,,yes,
乌尔新不动杆菌,,,,,,,,yes,
Bordetella_flabilis(鲍特氏菌属细菌),,,,,,,,yes,
水谷鞘氨醇杆菌,,,,,,,,yes,
缺陷短波单胞菌,,,,,,,,yes,
费菲脱硫弧菌,,,,,,,,yes,
弯曲芽孢杆菌,,,,,,,,yes,
多食鞘氨醇杆菌,,,,,,,,yes,
限制性马拉色菌,,,,,,,,yes,
爵斯基军团菌,,,,,,,,yes,
副溶血嗜血杆菌,,,,,,,,yes,
纽氏放线菌,,,,,,,,yes,
弗氏柠檬酸杆菌,,,,,,,,yes,
禽副粘病毒1型（新城疫病毒）,,,,,,,,yes,
杂色曲霉,,,,,,,,yes,
人费克蓝姆菌,,,,,,,,yes,
伊尼利螺旋体,,,,,,,,yes,
老兵诺卡菌,,,,,,,,yes,
无,,,,,,,,yes,
普氏杆菌,,,,,,,,yes,
贝氏柯克斯体,,,,,,,,yes,
Desulfobulbus_oralis（ 脱硫叶菌属细菌）,,,,,,,,yes,
口腔链球菌,,,,,,,,yes,
副乾酪乳杆菌,,,,,,,,yes,
赫氏草螺菌,,,,,,,,yes,
惰性费克蓝姆菌,,,,,,,,yes,
土壤短芽孢杆菌,,,,,,,,yes,
戈登链球菌,,,,,,,,yes,
纽卡斯尔分枝杆菌,,,,,,,,yes,
米氏西蒙斯菌,,,,,,,,yes,
Sphingomonas koreensis（鞘氨醇单胞菌属细菌）,,,,,,,,yes,
Bosea_lupini(包西氏菌属菌属),,,,,,,,yes,
Rhizobium pusense(根瘤菌属细菌),,,,,,,,yes,
中间苍白杆菌,,,,,,,,yes,
Methylobacterium_phyllosphaerae（甲基杆菌属细菌）,,,,,,,,yes,
氨氧化假诺卡氏菌,,,,,,,,yes,
需血清霍氏菌,,,,,,,,yes,
多杀巴斯德杆菌,,,,,,,,yes,
皮氏罗尔斯顿菌,,,,,,,,yes,
浅黄假单胞菌,,,,,,,,yes,
麻疹孪生球菌,,,,,,,,yes,
龋齿放线菌,,,,,,,,yes,
多耐棒杆菌,,,,,,,,yes,
尼瓦利亚念珠菌,,,,,,,,yes,
内氏放线菌,,,,,,,,yes,
丙酸丙酸杆菌,,,,,,,,yes,
黏液玫瑰单胞菌,,,,,,,,yes,
溶血隐秘杆菌,,,,,,,,yes,
Janibacter melonis（两面神菌属细菌）,,,,,,,,yes,
致病无色杆菌,,,,,,,,yes,
魏格斯斯卡多维菌,,,,,,,,yes,
杀鲑气单胞菌,,,,,,,,yes,
梅契尼柯夫弧菌,,,,,,,,yes,
人博卡病毒,,,,,,,,yes,
Pseudomonas_otitidis(假单胞菌属细菌),,,,,,,,yes,
丙酸棒状杆菌,,,,,,,,yes,
山羊葡萄球菌,,,,,,,,yes,
罗氏假单胞菌,,,,,,,,yes,
发热伴血小板减少综合征病毒,,,,,,,,yes,
派替鲍特菌,,,,,,,,yes,
互格链格孢复合群,,,,,,,,yes,
Anaerococcus_provencensis(厌氧球菌属细菌）,,,,,,,,yes,
Enterobacter roggenkampii（肠杆菌属细菌）,,,,,,,,yes,
缓症链球菌,,,,,,,,yes,
克氏库克菌,,,,,,,,yes,
微小脲原体,,,,,,,,yes,
尖端赛多孢霉,,,,,,,,yes,
抗坏血酸克吕沃尔氏菌,,,,,,,,yes,
Mogibacterium_pumilum（难养杆菌属细菌）,,,,,,,,yes,
弯曲乳杆菌,,,,,,,,yes,
人单纯疱疹病毒2型,,,,,,,,yes,
蜡样芽孢杆菌群,,,,,,,,yes,
黏滑罗斯菌,,,,,,,,yes,
乔治放线菌,,,,,,,,yes,
Mycobacterium gallinarum（分枝杆菌属细菌）,,,,,,,,yes,
人双埃可病毒1型,,,,,,,,yes,
人苍白杆菌,,,,,,,,yes,
寡育外瓶霉,,,,,,,,yes,
非典型韦荣氏球菌,,,,,,,,yes,
韦德纤毛菌,,,,,,,,yes,
富西亚分枝杆菌,,,,,,,,yes,
非液化莫拉菌,,,,,,,,yes,
人心杆菌,,,,,,,,yes,
脱氮金氏菌,,,,,,,,yes,
牙齿放线菌,,,,,,,,yes,
解糖葡萄球菌,,,,,,,,yes,
创口博德特菌,,,,,,,,yes,
链状埃格斯菌,,,,,,,,yes,
副戈登分枝杆菌,,,,,,,,yes,
气味沙雷菌,,,,,,,,yes,
麦尔放线菌,,,,,,,,yes,
球形马拉色菌,,,,,,,,yes,
逊德勒不动杆菌,,,,,,,,yes,
唾液链球菌,,,,,,,,yes,
伪中间葡萄球菌,,,,,,,,yes,
星形诺卡菌,,,,,,,,yes,
痰潘多拉菌,,,,,,,,yes,
微黄奈瑟氏菌,,,,,,,,yes,
威克汉姆无绿藻,,,,,,,,yes,
普雷沃氏菌,,,,,,,,yes,
羊水斯尼斯菌,,,,,,,,yes,
口腔放线菌,,,,,,,,yes,
支气管戈登菌,,,,,,,,yes,
Olsenella_phocaeensis（欧尔森菌属细菌）,,,,,,,,yes,
喙状明脐菌,,,,,,,,yes,
楚布分枝杆菌,,,,,,,,yes,
脓液诺卡菌,,,,,,,,yes,
动胶拟杆菌,,,,,,,,yes,
新喀里多尼亚诺卡菌,,,,,,,,yes,
Delftia tsuruhatensis（代尔夫特菌属细菌） ,,,,,,,,yes,
污染伯克霍尔德菌,,,,,,,,yes,
鼠李糖乳杆菌,,,,,,,,yes,
奇异劳特普罗菌,,,,,,,,yes,
黄瓜金黄杆菌,,,,,,,,yes,
布拉加念珠菌,,,,,,,,yes,
杰氏棒状杆菌,,,,,,,,yes,
中华链球菌,,,,,,,,yes,
卡迪夫放线菌,,,,,,,,yes,
海藻希瓦氏菌,,,,,,,,yes,
斯洛菲马拉色菌,,,,,,,,yes,
淡紫拟青霉,,,,,,,,yes,
氢厌氧球菌,,,,,,,,yes,
辛辛那提军团菌,,,,,,,,yes,
Methylorubrum populi(甲基杆菌属细菌),,,,,,,,yes,
黑根霉,,,,,,,,yes,
Actinomyces_mediterranea（放线菌属细菌）,,,,,,,,yes,
Schaalia turicensis,,,,,,,,yes,
红绶曲霉,,,,,,,,yes,
Enterobacter_chengduensis（肠杆菌属细菌）,,,,,,,,yes,
肠膜明串珠菌,,,,,,,,yes,
干燥奈瑟菌,,,,,,,,yes,
Anaeroglobus_geminatus,,,,,,,,yes,
栖牙普雷沃菌,,,,,,,,yes,
泛口腔链球菌,,,,,,,,yes,
人类多瘤病毒7型,,,,,,,,yes,
多形普雷沃菌,,,,,,,,yes,
栖居普雷沃氏菌,,,,,,,,yes,
浑浊戴阿李斯特菌,,,,,,,,yes,
单核细胞增生李斯特菌,,,,,,,,yes,
聚多曲霉,,,,,,,,yes,
Talaromyces funiculosus（篮状菌属真菌）,,,,,,,,yes,
南极假丝酵母,,,,,,,,yes,
拟棘孢曲霉,,,,,,,,yes,
奥布分枝杆菌,,,,,,,,yes,
浅黄分枝杆菌,,,,,,,,yes,
糠秕马拉色菌,,,,,,,,yes,
齿双歧杆菌,,,,,,,,yes,
齿垢副斯卡多维菌,,,,,,,,yes,
头状大孢酵母菌,,,,,,,,yes,
斯氏普罗威登斯菌,,,,,,,,yes,
维氏气单胞菌,,,,,,,,yes,
抗辐射不动杆菌,,,,,,,,yes,
贝雷占不动杆菌,,,,,,,,yes,
Acinetobacter_colistiniresistens（不动杆菌属细菌）,,,,,,,,yes,
疼痛无色杆菌,,,,,,,,yes,
疾病卡托氏菌,,,,,,,,yes,
达卡气单胞菌,,,,,,,,yes,
黑色消化球菌,,,,,,,,yes,
蟾分枝杆菌,,,,,,,,yes,
类二氧化碳噬纤维微生长单胞菌,,,,,,,,yes,
日本曲霉,,,,,,,,yes,
肠沙门菌,,,,,,,,yes,
居口放线菌,,,,,,,,yes,
龈炎普雷沃氏菌,,,,,,,,yes,
人多瘤病毒4型,,,,,,,,yes,
Yarrowia_keelungensis(耶氏酵母属真菌),,,,,,,,yes,
长滩军团菌,,,,,,,,yes,
产气荚膜梭菌,,,,,,,,yes,
Pseudomonas_asiatica(假单胞菌属细菌）,,,,,,,,yes,
孔兹创伤球菌,,,,,,,,yes,
酿脓链球菌,,,,,,,,yes,
布鲁氏菌属,,,,,,,,yes,
Chryseobacterium arthrosphaerae(金黄杆菌属细菌),,,,,,,,yes,
软弱乏养菌,,,,,,,,yes,
解脂耶氏酵母,,,,,,,,yes,
伊朗分枝杆菌,,,,,,,,yes,
哥伦比亚分枝杆菌,,,,,,,,yes,
金色黏液棒杆菌,,,,,,,,yes,
鲁氏不动杆菌,,,,,,,,yes,
舟形梭杆菌,,,,,,,,yes,
嵴链球菌,,,,,,,,yes,
亚洲镰孢菌,,,,,,,,yes,
厌氧消化链球菌,,,,,,,,yes,
非解乳链球菌,,,,,,,,yes,
Citrobacter portucalensis（柠檬酸菌属细菌）,,,,,,,,yes,
副热带芽孢杆菌,,,,,,,,yes,
变黑普雷沃氏菌,,,,,,,,yes,
耻垢分枝杆菌,,,,,,,,yes,
小核形巨球菌,,,,,,,,yes,
Actinomyces bouchesdurhonensis(放线菌属细菌),,,,,,,,yes,
当别町韦荣球菌,,,,,,,,yes,
Streptococcus_timonensis（链球菌属细菌）,,,,,,,,yes,
毗邻乏养菌,,,,,,,,yes,
少动鞘氨醇单胞菌,,,,,,,,yes,
龟脓肿分枝杆菌复合群,,,,,,,,yes,
马萨分枝杆菌,,,,,,,,yes,
结核硬脂酸棒杆菌,,,,,,,,yes,
互格链格孢,,,,,,,,yes,
乳糖奈瑟球菌,,,,,,,,yes,
链状念珠菌,,,,,,,,yes,
小不动杆菌,,,,,,,,yes,
柯氏气球菌,,,,,,,,yes,
类鼻疽伯克霍尔德菌,,,,,,,,yes,
草酸青霉菌,,,,,,,,yes,
Fastidiosipila sanguinis,,,,,,,,yes,
乳酪短杆菌,,,,,,,,yes,
灰色小克银汉霉,,,,,,,,yes,
Chryseobacterium_culicis(金黄杆菌属细菌),,,,,,,,yes,
食荧蒽分枝菌酸杆形菌,,,,,,,,yes,
居线虫普罗维登斯菌,,,,,,,,yes,
Psychromonas_arctica,,,,,,,,yes,
戴尔根霉,,,,,,,,yes,
酿酒酵母,,,,,,,,yes,
阪崎杆菌,,,,,,,,yes,
无名念珠菌,,,,,,,,yes,
隐蔽伯克霍尔德菌,,,,,,,,yes,
猪戊型肝炎病毒,,,,,,,,yes,
贝氏立克次体,,,,,,,,yes,
银色葡萄球菌,,,,,,,,yes,
枝孢样支孢霉,,,,,,,,yes,
苍白密螺旋体苍白亚种,,,,,,,,yes,
杜氏利什曼原虫,,,,,,,,yes,
婴儿利什曼原虫,,,,,,,,yes,
恙虫病东方体,,,,,,,,yes,
耐金属贪铜菌,,,,,,,,yes,
桔青霉,,,,,,,,yes,
昭和弯曲杆菌,,,,,,,,yes,
施氏假单胞菌,,,,,,,,yes,
Prescottella_equi(红球菌属细菌）,,,,,,,,yes,
支气管脓毒鲍特菌,,,,,,,,yes,
冷明串珠菌,,,,,,,,yes,
黑马朗假丝酵母,,,,,,,,yes,
棉子糖乳球菌,,,,,,,,yes,
腐生葡萄球菌,,,,,,,,yes,
Pseudomonas bubulae(假单胞菌属细菌),,,,,,,,yes,
赫氏埃希菌,,,,,,,,yes,
肠氨基酸球菌,,,,,,,,yes,
沼泽考克氏菌,,,,,,,,yes,
土罐形支原体,,,,,,,,yes,
萜烯诺卡菌,,,,,,,,yes,
尼泊尔葡萄球菌,,,,,,,,yes,
Dermabacter_jinjuensis（皮杆菌属细菌）,,,,,,,,yes,
嗜热毁丝霉,,,,,,,,yes,
Clostridium ventriculi(梭菌属细菌),,,,,,,,yes,
猿猴假单胞菌,,,,,,,,yes,
溶血孪生球菌,,,,,,,,yes,
活泼瘤胃球菌,,,,,,,,yes,
多枝梭菌,,,,,,,,yes,
普拉栖粪杆菌,,,,,,,,yes,
简明弯曲杆菌,,,,,,,,yes,
动物双歧杆菌,,,,,,,,yes,
死亡梭杆菌,,,,,,,,yes,
卫星沙特尔沃思菌,,,,,,,,yes,
卵形拟杆菌,,,,,,,,yes,
瘘管口腔杆菌,,,,,,,,yes,
鲁兰无色杆菌,,,,,,,,yes,
刚地弓形虫,,,,,,,,yes,
苍黄肠球菌,,,,,,,,yes,
Brachybacterium_paraconglomeratum,,,,,,,,yes,
球支孢霉,,,,,,,,yes,
广泛不动杆菌,,,,,,,,yes,
问号钩端螺旋体,,,,,,,,yes,
Bergeyella_cardium(伯杰菌属细菌）,,,,,,,,yes,
大芬戈尔德菌,,,,,,,,yes,
小儿链球菌,,,,,,,,yes,
罗伦隐球菌,,,,,,,,yes,
唐菖蒲伯克霍尔德菌,,,,,,,,yes,
艰难梭菌,,,,,,,,yes,
西伯利亚立克次体,,,,,,,,yes,
荚膜组织胞浆菌,,,,,,,,yes,
加拿大假单胞菌,,,,,,,,yes,
Herbaspirillum_aquaticum(草螺菌属细菌）,,,,,,,,yes,
人多瘤病毒2型,,,,,,,,yes,
Anaerococcus_marasmi(厌氧球菌属细菌),,,,,,,,yes,
卷枝毛霉,,,,,,,,yes,
路邓葡萄球菌,,,,,,,,yes,
食醇鞘氨醇杆菌,,,,,,,,yes,
普通拟杆菌,,,,,,,,yes,
Exophiala_lecanii-corni（外瓶霉属真菌）,,,,,,,,yes,
宛氏拟青霉,,,,,,,,yes,
食多糖普雷沃菌,,,,,,,,yes,
Tractidigestivibacter_scatoligenes,,,,,,,,yes,
假希木龙念珠菌,,,,,,,,yes,
棒曲霉,,,,,,,,yes,
布拉奇亚甲基杆菌,,,,,,,,yes,
半裸镰刀菌,,,,,,,,yes,
双路普雷沃菌,,,,,,,,yes,
凝结芽胞杆菌,,,,,,,,yes,
Neoactinobaculum_massilliense,,,,,,,,yes,
黑尔嗜胨菌,,,,,,,,yes,
阑尾炎棒状杆菌,,,,,,,,yes,
Treponema_porcinum(密螺旋体属细菌),,,,,,,,yes,
假双歧杆菌,,,,,,,,yes,
液化沙雷菌,,,,,,,,yes,
恶性疟原虫,,,,,,,,yes,
Fusarium coffeatum（镰刀菌属真菌）,,,,,,,,yes,
Enterobacter mori(肠杆菌属细菌),,,,,,,,yes,
稳定伯克霍尔德菌,,,,,,,,yes,
摩氏假单胞菌,,,,,,,,yes,
Skermanella aerolata(斯科尔曼氏菌属细菌),,,,,,,,yes,
氧化微杆菌,,,,,,,,yes,
消化嗜冷杆菌,,,,,,,,yes,
拉兹分枝杆菌,,,,,,,,yes,
解乳糖厌氧球菌,,,,,,,,yes,
嗜淋巴丙酸微菌,,,,,,,,yes,
巴氏棘阿米巴,,,,,,,,yes,
Carnobacteriuminhibens,,,,,,,,yes,
模仿葡萄球菌,,,,,,,,yes,
关节炎诺卡菌,,,,,,,,yes,
人多瘤病毒1型,,,,,,,,yes,
创伤弧菌,,,,,,,,yes,
灰色奈瑟球菌,,,,,,,,yes,
兔脑炎微孢子菌,,,,,,,,yes,
Aspergillus_brunneoviolaceus（曲霉属真菌）,,,,,,,,yes,
清酒假丝酵母,,,,,,,,yes,
日本立克次体,,,,,,,,yes,
诺卡氏菌李斯特菌,,,,,,,,yes,
产左聚糖微杆菌,,,,,,,,yes,
HPgV病毒A型,,,,,,,,yes,
Pseudomonas juntendi(假单胞菌属细菌),,,,,,,,yes,
马拉色菌属细菌,,,,,,,,yes,
汉坦病毒,,,,,,,,yes,
Actinomyces bouchesdurhonensis(放线菌属细菌),,,,,,,,yes,
第八厌氧球菌,,,,,,,,yes,
短隐杆菌,,,,,,,,yes,
小麦布鲁氏菌,,,,,,,,yes,
粪类圆线虫,,,,,,,,yes,
苛养诺卡菌,,,,,,,,yes,
坏死梭杆菌,,,,,,,,yes,
考克斯嗜胨菌,,,,,,,,yes,
四联厌氧球菌,,,,,,,,yes,
约翰逊不动杆菌,,,,,,,,yes,
破伤风梭菌,,,,,,,,yes,
人类疱疹病毒7型,,,,,,,,yes,
人类疱疹病毒1型(HSV1),,,,,,,,yes,
人类疱疹病毒4型(EBV),,,,,,,,yes,
人类疱疹病毒5型(CMV),,,,,,,,yes,
白色念珠菌,,,,,,,,yes,
鸟分枝杆菌复合群,,,,,,,,yes,
粘质沙雷菌,,,,,,,,yes,
多杀巴斯德菌,,,,,,,,yes,
中间型链球菌,,,,,,,,yes,
欧洲分枝杆菌,,,,,,,,yes,
细环病毒28型,,,,,,,,yes,
多噬伯克霍尔德菌,,,,,,,,yes,
-,,,,,,,,yes,
长双歧杆菌,,,,,,,,yes,
坎那分枝杆菌,,,,,,,,yes,
圣乔治诺卡菌,,,,,,,,yes,
共栖外瓶霉,,,,,,,,yes,
羚羊分枝杆菌,,,,,,,,yes,
波斯分枝杆菌,,,,,,,,yes,
霍德勒分枝杆菌,,,,,,,,yes,
别列津不动杆菌,,,,,,,,yes,
尖端赛多孢子菌,,,,,,,,yes,
人类疱疹病毒8型,,,,,,,,yes,
吉普斯诺卡氏菌,,,,,,,,yes,
深红沙雷菌,,,,,,,,yes,
人类疱疹病毒3型(VZV),,,,,,,,yes,
轻型链球菌,,,,,,,,yes,
博伊德赛多孢子菌,,,,,,,,yes,
斯氏分枝杆菌,,,,,,,,yes,
流产衣原体,,,,,,,,yes,
玛格丽特分枝杆菌,,,,,,,,yes,
都柏林念珠菌,,,,,,,,yes,
鼻疽诺卡菌,,,,,,,,yes,
猿分枝杆菌,,,,,,,,yes,
格特隐球菌,,,,,,,,yes,
JC多瘤病毒,,,,,,,,yes,
人类细小病毒B19,,,,,,,,yes,
假巴西诺卡菌,,,,,,,,yes,
石蜡分枝杆菌,,,,,,,,yes,
广州管圆线虫,,,,,,,,yes,
柯萨奇病毒A6型,,,,,,,,yes,
丹羽诺卡菌,,,,,,,,yes,
荒尾诺卡菌,,,,,,,,yes,
雪利分枝杆菌,,,,,,,,yes,
加的斯分枝杆菌,,,,,,,,yes,
薛氏曲霉,,,,,,,,yes,
诺卡菌*,,,,,,,,yes,
白色链霉菌,,,,,,,,yes,
日本乙型脑炎病毒,,,,,,,,yes,
柯萨奇病毒A24型,,,,,,,,yes,
布鲁菌属,,,,,,,,yes,
贝纳柯克斯体,,,,,,,,yes,
斑疹伤寒立克次体,,,,,,,,yes,
白喉棒状杆菌,,,,,,,,yes,
化脓性链球菌,,,,,,,,yes,
人类呼吸道合胞体病毒,,,,,,,,yes,
人呼吸道病毒3,,,,,,,,yes,
人呼吸道病毒1,,,,,,,,yes,
正汉坦病毒,,,,,,,,yes,
人类免疫缺陷病毒1,,,,,,,,yes,
/,,,,,,,,yes,
双埃柯病毒A型,,,,,,,,yes,
人呼吸道病毒1型,,,,,,,,yes,
新型布尼亚病毒,,,,,,,,yes,
人呼吸道病毒3型,,,,,,,,yes,
人类疱疹病毒4型（EBV）,,,,,,,,yes,
人类疱疹病毒1型（HSV1）,,,,,,,,yes,
人类疱疹病毒5型（CMV）,,,,,,,,yes,
人类多瘤病毒1型（BK病毒）,,,,,,,,yes,
羊布鲁氏菌,,,,,,,,yes,
人类疱疹病毒2型（HSV2）,,,,,,,,yes,
圣乔治教堂诺卡菌,,,,,,,,yes,
人类疱疹病毒3型（VZV）,,,,,,,,yes,
人类多瘤病毒4型,,,,,,,,yes,
蜡样芽孢杆菌复合群,,,,,,,,yes,
人类多瘤病毒2型（JC病毒）,,,,,,,,yes,
灵长类第四细小病毒1型,,,,,,,,yes,
耳炎假单胞菌,,,,,,,,yes,
瘰疬分枝杆菌,,,,,,,,yes,
可可毛色二孢菌,,,,,,,,yes,
三上氏诺卡菌,,,,,,,,yes,
